mapping_id,step_id,mapping_group_id,source_entity_id,source_column_name,target_entity_id,target_column_name,rule_id,expression,confidence
M001,S001,G001,E001,IN1-CHAVE,E002,IN1-CHAVE,R001,IN1-CHAVE -> IN1-CHAVE,high
M002,S001,G002,E001,IN1-TIPO-REG,E002,IN1-TIPO-REG,R001,IN1-TIPO-REG -> IN1-TIPO-REG,high
M003,S001,G003,E001,IN1-AGENCIA,E002,IN1-AGENCIA,R001,IN1-AGENCIA -> IN1-AGENCIA,high
M004,S001,G004,E001,IN1-CONTA,E002,IN1-CONTA,R001,IN1-CONTA -> IN1-CONTA,high
M005,S001,G005,E001,IN1-QTDE,E002,IN1-QTDE,R001,IN1-QTDE -> IN1-QTDE,high
M006,S001,G006,E001,IN1-FATOR,E002,IN1-FATOR,R001,IN1-FATOR -> IN1-FATOR,high
M007,S001,G007,E001,IN1-COD-OPER,E002,IN1-COD-OPER,R001,IN1-COD-OPER -> IN1-COD-OPER,high
M008,S001,G008,E001,IN1-DATA-MOV,E002,IN1-DATA-MOV,R001,IN1-DATA-MOV -> IN1-DATA-MOV,high
M009,S001,G009,E001,IN1-CANAL,E002,IN1-CANAL,R001,IN1-CANAL -> IN1-CANAL,high
M010,S001,G010,E001,IN1-FILLER,E002,IN1-FILLER,R001,IN1-FILLER -> IN1-FILLER,high
M011,S002,G011,E003,IN2-CHAVE,E004,IN2-CHAVE,R002,IN2-CHAVE -> IN2-CHAVE,high
M012,S002,G012,E003,IN2-SEGMENTO,E004,IN2-SEGMENTO,R002,IN2-SEGMENTO -> IN2-SEGMENTO,high
M013,S002,G013,E003,IN2-DOCUMENTO,E004,IN2-DOCUMENTO,R002,IN2-DOCUMENTO -> IN2-DOCUMENTO,high
M014,S002,G014,E003,IN2-VALOR-UNIT,E004,IN2-VALOR-UNIT,R002,IN2-VALOR-UNIT -> IN2-VALOR-UNIT,high
M015,S002,G015,E003,IN2-QUANTIDADE,E004,IN2-QUANTIDADE,R002,IN2-QUANTIDADE -> IN2-QUANTIDADE,high
M016,S002,G016,E003,IN2-INDICADOR,E004,IN2-INDICADOR,R002,IN2-INDICADOR -> IN2-INDICADOR,high
M017,S002,G017,E003,IN2-COD-PROD,E004,IN2-COD-PROD,R002,IN2-COD-PROD -> IN2-COD-PROD,high
M018,S002,G018,E003,IN2-DATA-REF,E004,IN2-DATA-REF,R002,IN2-DATA-REF -> IN2-DATA-REF,high
M019,S002,G019,E003,IN2-MOEDA,E004,IN2-MOEDA,R002,IN2-MOEDA -> IN2-MOEDA,high
M020,S002,G020,E003,IN2-FILLER,E004,IN2-FILLER,R002,IN2-FILLER -> IN2-FILLER,high
M021,S003,G021,E002,IN1-CHAVE,E006,OUT-CHAVE,R003,MOVE IN1-CHAVE TO OUT-CHAVE,high
M022,S003,G022,E002,IN1-AGENCIA,E006,OUT-AGENCIA,R004,MOVE IN1-AGENCIA TO OUT-AGENCIA,high
M023,S003,G023,E002,IN1-CONTA,E006,OUT-CONTA,R005,MOVE IN1-CONTA TO OUT-CONTA,high
M024,S003,G024,E002,IN1-QTDE,E006,OUT-QTDE,R006,MOVE IN1-QTDE TO OUT-QTDE,high
M025,S003,G025,E002,IN1-FATOR,E006,OUT-FATOR,R007,MOVE IN1-FATOR TO OUT-FATOR,high
M026,S003,G026,E002,IN1-CANAL,E006,OUT-CANAL-SAIDA,R008,MOVE IN1-CANAL TO OUT-CANAL-SAIDA,high
M027,S003,G027,E005,NOME_CLIENTE,E006,OUT-NOME,R009,HV-NOME-CLIENTE -> OUT-NOME,high
M028,S003,G028,E005,STATUS_CLIENTE,E006,OUT-STATUS,R010,HV-STATUS-CLIENTE -> OUT-STATUS,high
M029,S003,G029,E005,CODIGO_DB2,E006,OUT-CODIGO-DB2,R011,HV-CODIGO-DB2 -> OUT-CODIGO-DB2,high
M030,S003,G030,E005,DATA_CADASTRO,E006,OUT-DATA-CAD,R012,HV-DATA-CADASTRO -> OUT-DATA-CAD,high
M031,S003,G031,E005,VALOR_BASE,E006,OUT-VALOR-BASE,R013,HV-VALOR-BASE -> OUT-VALOR-BASE,high
M032,S003,G032,E005,PRECO_UNITARIO,E006,OUT-PRECO-DB2,R014,HV-PRECO-UNITARIO -> OUT-PRECO-DB2,high
M033,S003,G033,E005,VALOR_BASE,E006,OUT-VALOR-CALC,R015,HV-VALOR-BASE * IN1-FATOR,high
M034,S003,G033,E002,IN1-FATOR,E006,OUT-VALOR-CALC,R015,HV-VALOR-BASE * IN1-FATOR,high
M035,S003,G034,E002,IN1-QTDE,E006,OUT-TOTAL-GERAL,R016,IN1-QTDE * HV-PRECO-UNITARIO,high
M036,S003,G034,E005,PRECO_UNITARIO,E006,OUT-TOTAL-GERAL,R016,IN1-QTDE * HV-PRECO-UNITARIO,high
M037,S003,G035,E002,IN1-TIPO-REG,E006,OUT-TIPO-SAIDA,R017,IF IN1-TIPO-REG = 'A' THEN A1 ELSE A2,high
M038,S003,G036,E002,IN1-TIPO-REG,E006,OUT-OCORRENCIA,R018,IF IN1-TIPO-REG = 'A' THEN 000 ELSE 010,high
