column_id,entity_id,column_name,data_type,length,scale,nullable,source_artifact_id,source_definition
C001,E001,OUT-ORIGEM,CHAR,1,0,false,A004,PIC X(01)
C002,E001,OUT-CHAVE,CHAR,10,0,false,A004,PIC X(10)
C003,E001,OUT-NOME,CHAR,30,0,false,A004,PIC X(30)
C004,E001,OUT-STATUS,CHAR,1,0,false,A004,PIC X(01)
C005,E001,OUT-CODIGO-DB2,CHAR,5,0,false,A004,PIC X(05)
C006,E001,OUT-DATA-CAD,CHAR,10,0,false,A004,PIC X(10)
C007,E001,OUT-TIPO-SAIDA,CHAR,2,0,false,A004,PIC X(02)
C008,E001,OUT-CANAL-SAIDA,CHAR,2,0,false,A004,PIC X(02)
C009,E001,OUT-OCORRENCIA,CHAR,3,0,false,A004,PIC X(03)
C010,E001,OUT-AGENCIA,NUMERIC,4,0,false,A004,PIC 9(04)
C011,E001,OUT-CONTA,NUMERIC,8,0,false,A004,PIC 9(08)
C012,E001,OUT-DOCUMENTO,CHAR,14,0,false,A004,PIC X(14)
C013,E001,OUT-QTDE,NUMERIC,5,0,false,A004,PIC 9(05)
C014,E001,OUT-FATOR,NUMERIC,5,2,false,A004,PIC 9(03)V99
C015,E001,OUT-VALOR-BASE,NUMERIC,11,2,false,A004,PIC 9(09)V99
C016,E001,OUT-PRECO-DB2,NUMERIC,9,2,false,A004,PIC 9(07)V99
C017,E001,OUT-VALOR-CALC,NUMERIC,13,2,false,A004,PIC 9(11)V99
C018,E001,OUT-TOTAL-GERAL,NUMERIC,13,2,false,A004,PIC 9(11)V99
C019,E001,OUT-HARD1,CHAR,10,0,false,A004,PIC X(10)
C020,E001,OUT-HARD2,CHAR,10,0,false,A004,PIC X(10)
C021,E001,OUT-HARD3,CHAR,10,0,false,A004,PIC X(10)
C022,E001,OUT-MSG,CHAR,40,0,false,A004,PIC X(40)
C023,E001,OUT-FILLER,CHAR,74,0,false,A004,PIC X(74)
C024,E001,OUT-HARD-JCL,CHAR,10,0,false,A004,PIC X(10)
C025,E002,P1-CHAVE,CHAR,10,0,false,A005,PIC X(10)
C026,E002,P1-ORIGEM,CHAR,1,0,false,A005,PIC X(01)
C027,E002,P1-NOME,CHAR,30,0,false,A005,PIC X(30)
C028,E002,P1-STATUS,CHAR,1,0,false,A005,PIC X(01)
C029,E002,P1-CATEGORIA,CHAR,3,0,false,A005,PIC X(03)
C030,E002,P1-CANAL-GRUPO,CHAR,8,0,false,A005,PIC X(08)
C031,E002,P1-FAIXA-TOTAL,CHAR,2,0,false,A005,PIC X(02)
C032,E002,P1-ALERTA,CHAR,1,0,false,A005,PIC X(01)
C033,E002,P1-SCORE,NUMERIC,5,0,false,A005,PIC 9(05)
C034,E002,P1-TOTAL-GERAL,NUMERIC,13,2,false,A005,PIC 9(11)V99
C035,E002,P1-VALOR-CALC,NUMERIC,13,2,false,A005,PIC 9(11)V99
C036,E002,P1-OCORRENCIA,CHAR,3,0,false,A005,PIC X(03)
C037,E002,P1-TIPO-SAIDA,CHAR,2,0,false,A005,PIC X(02)
C038,E002,P1-CODIGO-DB2,CHAR,5,0,false,A005,PIC X(05)
C039,E002,P1-DATA-CAD,CHAR,10,0,false,A005,PIC X(10)
C040,E002,P1-MSG-ANALISE,CHAR,40,0,false,A005,PIC X(40)
C041,E002,P1-COD-PROCESSO,CHAR,10,0,false,A005,PIC X(10)
C042,E002,P1-FILLER,CHAR,163,0,false,A005,PIC X(163)
C043,E003,IN3-CHAVE,CHAR,10,0,false,A006,PIC X(10)
C044,E003,IN3-COD-SEGMENTO,CHAR,3,0,false,A006,PIC X(03)
C045,E003,IN3-FATOR-AJUSTE,NUMERIC,5,2,false,A006,PIC 9(03)V99
C046,E003,IN3-LIMITE-CRED,NUMERIC,11,2,false,A006,PIC 9(09)V99
C047,E003,IN3-CANAL-REF,CHAR,2,0,false,A006,PIC X(02)
C048,E003,IN3-TIPO-CLIENTE,CHAR,1,0,false,A006,PIC X(01)
C049,E003,IN3-DATA-REF,NUMERIC,8,0,false,A006,PIC 9(08)
C050,E003,IN3-FLAG-BLOQUEIO,CHAR,1,0,false,A006,PIC X(01)
C051,E003,IN3-FILLER,CHAR,39,0,false,A006,PIC X(39)
C052,E004,P2-CHAVE,CHAR,10,0,false,A007,PIC X(10)
C053,E004,P2-ORIGEM,CHAR,1,0,false,A007,PIC X(01)
C054,E004,P2-CATEGORIA-FINAL,CHAR,4,0,false,A007,PIC X(04)
C055,E004,P2-SEGMENTO,CHAR,3,0,false,A007,PIC X(03)
C056,E004,P2-PRIORIDADE,CHAR,1,0,false,A007,PIC X(01)
C057,E004,P2-DECISAO,CHAR,12,0,false,A007,PIC X(12)
C058,E004,P2-CANAL-DESTINO,CHAR,2,0,false,A007,PIC X(02)
C059,E004,P2-FLAG-CROSS,CHAR,1,0,false,A007,PIC X(01)
C060,E004,P2-FLAG-BLOQUEIO,CHAR,1,0,false,A007,PIC X(01)
C061,E004,P2-SCORE,NUMERIC,5,0,false,A007,PIC 9(05)
C062,E004,P2-LIMITE-CRED,NUMERIC,11,2,false,A007,PIC 9(09)V99
C063,E004,P2-VALOR-AJUSTADO,NUMERIC,13,2,false,A007,PIC 9(11)V99
C064,E004,P2-PERC-LIMITE,NUMERIC,3,0,false,A007,PIC 9(03)
C065,E004,P2-STATUS,CHAR,1,0,false,A007,PIC X(01)
C066,E004,P2-TIPO-SAIDA,CHAR,2,0,false,A007,PIC X(02)
C067,E004,P2-OCORRENCIA,CHAR,3,0,false,A007,PIC X(03)
C068,E004,P2-MSG-FINAL,CHAR,50,0,false,A007,PIC X(50)
C069,E004,P2-NOME,CHAR,30,0,false,A007,PIC X(30)
C070,E004,P2-CODIGO-DB2,CHAR,5,0,false,A007,PIC X(05)
C071,E004,P2-DATA-REF,NUMERIC,8,0,false,A007,PIC 9(08)
C072,E004,P2-COD-PROCESSO,CHAR,10,0,false,A007,PIC X(10)
C073,E004,P2-FILLER,CHAR,184,0,false,A007,PIC X(184)
