evidence_id,related_type,related_id,artifact_id,location,excerpt,confidence
EV001,step,S001,A001,JCL/JCLDB001.jcl:5,"//STEP010 EXEC PGM=ICEGENER",high
EV002,step,S002,A001,JCL/JCLDB001.jcl:13,"//STEP020 EXEC PGM=SORT",high
EV003,step,S003,A001,JCL/JCLDB001.jcl:24,"RUN PROGRAM(CBLDB001) PLAN(PLNDB001)",high
EV004,step,S004,A001,JCL/JCLDB001.jcl:41,"//STEP040 EXEC PGM=SORT",high
EV005,entity,E001,A001,JCL/JCLDB001.jcl:7,"//SYSUT1 DD DSN=APP.INPUT1.ORIGINAL",high
EV006,entity,E003,A001,JCL/JCLDB001.jcl:15,"//SORTIN DD DSN=APP.INPUT2.ORIGINAL",high
EV007,entity,E005,A006,dclgen/DCLTB001.dcl:5,"EXEC SQL DECLARE APPDB.CLIENTE_MOVTO TABLE",high
EV008,artifact,A003,A002,programas/CBLDB001.cbl:21,"COPY CPYIN001.",high
EV009,artifact,A004,A002,programas/CBLDB001.cbl:25,"COPY CPYIN002.",high
EV010,artifact,A005,A002,programas/CBLDB001.cbl:29,"COPY CPYOUT01.",high
EV011,artifact,A006,A002,programas/CBLDB001.cbl:50,"EXEC SQL INCLUDE DCLTB001",high
EV012,mapping,M021,A002,programas/CBLDB001.cbl:86,"MOVE IN1-CHAVE TO OUT-CHAVE",high
EV013,mapping,M033,A002,programas/CBLDB001.cbl:103,"COMPUTE OUT-VALOR-CALC = HV-VALOR-BASE * IN1-FATOR",high
EV014,mapping,M035,A002,programas/CBLDB001.cbl:105,"COMPUTE OUT-TOTAL-GERAL = IN1-QTDE * HV-PRECO-UNITARIO",high
EV015,mapping,M041,A002,programas/CBLDB001.cbl:143,"MOVE IN2-DOCUMENTO TO OUT-DOCUMENTO",high
EV016,mapping,M044,A002,programas/CBLDB001.cbl:156,"COMPUTE OUT-VALOR-CALC = IN2-VALOR-UNIT * HV-FATOR-DB2",high
EV017,mapping,M046,A002,programas/CBLDB001.cbl:158,"COMPUTE OUT-TOTAL-GERAL = IN2-QUANTIDADE * HV-PRECO-UNITARIO",high
EV018,mapping,M027,A002,programas/CBLDB001.cbl:95,"MOVE HV-NOME-CLIENTE TO OUT-NOME",high
EV019,mapping,M032,A002,programas/CBLDB001.cbl:100,"MOVE HV-PRECO-UNITARIO TO OUT-PRECO-DB2",high
EV020,mapping,M056,A001,JCL/JCLDB001.jcl:47,"SORT FIELDS=COPY / OUTREC OVERLAY=(291:C'JCLBATCH01')",high
